persona_id,policy,converted,advisor_routed,abandoned,terminal_step,interventions_shown,interventions_accepted,initial_price_eur,final_price_eur,price_delta_eur
franz,balanced,False,False,True,abandoned,0,0,68.14,78.23,10.09
franz,balanced,False,False,True,abandoned,0,0,68.14,73.3,5.16
franz,balanced,False,False,True,abandoned,1,1,68.14,69.74,1.6
franz,balanced,True,False,False,converted,2,2,68.14,73.99,5.85
franz,balanced,False,False,True,abandoned,0,0,68.14,76.36,8.22
franz,balanced,False,False,True,abandoned,1,0,68.14,70.14,2.0
franz,balanced,False,False,True,abandoned,1,0,68.14,75.04,6.9
franz,balanced,False,False,True,abandoned,1,0,68.14,68.37,0.23
franz,balanced,False,False,True,abandoned,1,1,68.14,75.53,7.39
franz,balanced,True,False,False,converted,1,0,68.14,73.07,4.93
franz,balanced,False,False,True,abandoned,1,1,68.14,74.46,6.32
franz,balanced,False,False,True,abandoned,1,1,68.14,69.76,1.62
franz,balanced,False,False,True,abandoned,1,1,68.14,74.13,5.99
franz,balanced,False,False,True,abandoned,1,1,68.14,70.51,2.37
franz,balanced,False,False,True,abandoned,1,1,68.14,73.91,5.77
franz,balanced,False,False,True,abandoned,1,1,68.14,77.15,9.01
franz,balanced,False,False,True,abandoned,1,0,68.14,76.03,7.89
franz,balanced,False,False,True,abandoned,1,1,68.14,76.35,8.21
franz,balanced,False,False,True,abandoned,1,0,68.14,70.9,2.76
franz,balanced,False,False,True,abandoned,1,0,68.14,69.26,1.12
franz,balanced,False,False,True,abandoned,1,1,68.14,78.22,10.08
franz,balanced,False,False,True,abandoned,1,1,68.14,74.07,5.93
franz,balanced,False,False,True,abandoned,1,1,68.14,73.55,5.41
franz,balanced,False,False,True,abandoned,1,1,68.14,74.08,5.94
franz,balanced,False,False,True,abandoned,1,0,68.14,75.81,7.67
franz,balanced,False,False,True,abandoned,0,0,68.14,69.4,1.26
franz,balanced,False,False,True,abandoned,1,1,68.14,72.83,4.69
franz,balanced,False,False,True,abandoned,1,1,68.14,71.84,3.7
franz,balanced,False,False,True,abandoned,1,1,68.14,69.68,1.54
franz,balanced,False,False,True,abandoned,0,0,68.14,77.75,9.61
franz,balanced,False,False,True,abandoned,1,0,68.14,69.51,1.37
franz,balanced,False,False,True,abandoned,1,1,68.14,73.48,5.34
franz,balanced,False,False,True,abandoned,1,0,68.14,76.6,8.46
franz,balanced,True,False,False,converted,1,1,68.14,77.97,9.83
franz,balanced,False,False,True,abandoned,1,1,68.14,75.96,7.82
franz,balanced,False,False,True,abandoned,1,0,68.14,75.02,6.88
franz,balanced,False,False,True,abandoned,1,1,68.14,76.13,7.99
franz,balanced,True,False,False,converted,0,0,68.14,68.24,0.1
franz,balanced,False,False,True,abandoned,1,0,68.14,70.56,2.42
franz,balanced,False,False,True,abandoned,1,0,68.14,73.49,5.35
franz,balanced,False,False,True,abandoned,1,0,68.14,74.44,6.3
franz,balanced,True,False,False,converted,1,1,68.14,69.04,0.9
franz,balanced,False,False,True,abandoned,1,0,68.14,76.38,8.24
franz,balanced,False,False,True,abandoned,1,1,68.14,70.32,2.18
franz,balanced,False,False,True,abandoned,1,1,68.14,68.41,0.27
franz,balanced,False,False,True,abandoned,2,2,68.14,74.58,6.44
franz,balanced,False,False,True,abandoned,1,0,68.14,68.32,0.18
franz,balanced,False,False,True,abandoned,1,1,68.14,77.03,8.89
franz,balanced,False,False,True,abandoned,1,1,68.14,77.08,8.94
franz,balanced,False,False,True,abandoned,1,1,68.14,69.51,1.37
franz,balanced,False,False,True,abandoned,1,1,68.14,71.94,3.8
franz,balanced,True,False,False,converted,2,2,68.14,74.9,6.76
franz,balanced,False,False,True,abandoned,2,2,68.14,71.99,3.85
franz,balanced,False,False,True,abandoned,1,0,68.14,70.67,2.53
franz,balanced,False,False,True,abandoned,0,0,68.14,69.01,0.87
franz,balanced,False,False,True,abandoned,1,1,68.14,70.06,1.92
franz,balanced,False,False,True,abandoned,1,0,68.14,78.01,9.87
franz,balanced,True,False,False,converted,2,2,68.14,72.82,4.68
franz,balanced,False,False,True,abandoned,1,1,68.14,74.78,6.64
franz,balanced,False,False,True,abandoned,1,1,68.14,75.14,7.0
franz,balanced,False,False,True,abandoned,1,1,68.14,75.36,7.22
franz,balanced,False,False,True,abandoned,1,0,68.14,76.13,7.99
franz,balanced,False,False,True,abandoned,1,0,68.14,73.43,5.29
franz,balanced,False,True,False,advisor_routed,0,0,68.14,69.62,1.48
franz,balanced,False,False,True,abandoned,1,1,68.14,74.53,6.39
franz,balanced,False,False,True,abandoned,1,1,68.14,77.42,9.28
franz,balanced,True,False,False,converted,1,1,68.14,72.68,4.54
franz,balanced,False,False,True,abandoned,1,0,68.14,74.04,5.9
franz,balanced,False,False,True,abandoned,1,1,68.14,73.13,4.99
franz,balanced,False,False,True,abandoned,1,1,68.14,75.48,7.34
franz,balanced,True,False,False,converted,2,2,68.14,74.11,5.97
franz,balanced,False,False,True,abandoned,1,1,68.14,73.73,5.59
franz,balanced,False,False,True,abandoned,0,0,68.14,73.7,5.56
franz,balanced,False,False,True,abandoned,1,1,68.14,75.35,7.21
franz,balanced,False,False,True,abandoned,1,0,68.14,76.29,8.15
franz,balanced,False,False,True,abandoned,1,1,68.14,69.28,1.14
franz,balanced,False,False,True,abandoned,1,1,68.14,72.55,4.41
franz,balanced,False,False,True,abandoned,0,0,68.14,73.07,4.93
franz,balanced,False,False,True,abandoned,1,1,68.14,75.72,7.58
franz,balanced,False,False,True,abandoned,1,1,68.14,77.86,9.72
franz,balanced,True,False,False,converted,1,1,68.14,68.3,0.16
franz,balanced,False,False,True,abandoned,0,0,68.14,76.92,8.78
franz,balanced,False,False,True,abandoned,1,1,68.14,71.63,3.49
franz,balanced,True,False,False,converted,1,1,68.14,76.25,8.11
franz,balanced,False,False,True,abandoned,1,1,68.14,72.77,4.63
franz,balanced,True,False,False,converted,1,1,68.14,71.34,3.2
franz,balanced,True,False,False,converted,1,1,68.14,69.43,1.29
franz,balanced,False,False,True,abandoned,1,0,68.14,69.59,1.45
franz,balanced,False,False,True,abandoned,1,0,68.14,72.18,4.04
franz,balanced,True,False,False,converted,0,0,68.14,69.01,0.87
franz,balanced,True,False,False,converted,1,1,68.14,72.75,4.61
franz,balanced,False,False,True,abandoned,1,0,68.14,72.23,4.09
franz,balanced,True,False,False,converted,0,0,68.14,69.84,1.7
franz,balanced,False,False,True,abandoned,1,0,68.14,75.18,7.04
franz,balanced,False,False,True,abandoned,1,1,68.14,70.26,2.12
franz,balanced,False,False,True,abandoned,0,0,68.14,75.88,7.74
franz,balanced,False,False,True,abandoned,2,2,68.14,75.11,6.97
franz,balanced,False,False,True,abandoned,1,1,68.14,76.93,8.79
franz,balanced,True,False,False,converted,1,1,68.14,71.43,3.29
franz,balanced,False,False,True,abandoned,1,1,68.14,74.75,6.61
franz,balanced,True,False,False,converted,1,1,68.14,78.3,10.16
franz,balanced,False,False,True,abandoned,2,1,68.14,73.39,5.25
franz,balanced,False,False,True,abandoned,1,1,68.14,71.73,3.59
franz,balanced,False,False,True,abandoned,1,0,68.14,76.29,8.15
franz,balanced,False,False,True,abandoned,0,0,68.14,76.51,8.37
franz,balanced,False,False,True,abandoned,1,0,68.14,75.17,7.03
franz,balanced,False,False,True,abandoned,1,0,68.14,70.94,2.8
franz,balanced,False,False,True,abandoned,2,1,68.14,68.74,0.6
franz,balanced,True,False,False,converted,0,0,68.14,70.26,2.12
franz,balanced,False,False,True,abandoned,1,1,68.14,72.56,4.42
franz,balanced,True,False,False,converted,2,2,68.14,75.29,7.15
franz,balanced,False,False,True,abandoned,1,0,68.14,69.07,0.93
franz,balanced,False,False,True,abandoned,1,1,68.14,74.71,6.57
franz,balanced,False,False,True,abandoned,0,0,68.14,70.97,2.83
franz,balanced,False,False,True,abandoned,1,1,68.14,70.78,2.64
franz,balanced,False,False,True,abandoned,1,1,68.14,77.69,9.55
franz,balanced,False,False,True,abandoned,1,0,68.14,77.32,9.18
franz,balanced,True,False,False,converted,1,1,68.14,72.99,4.85
franz,balanced,True,False,False,converted,1,0,68.14,72.73,4.59
franz,balanced,False,False,True,abandoned,1,0,68.14,68.77,0.63
franz,balanced,False,False,True,abandoned,1,1,68.14,74.06,5.92
franz,balanced,False,False,True,abandoned,2,1,68.14,69.16,1.02
franz,balanced,False,False,True,abandoned,1,1,68.14,73.49,5.35
franz,balanced,False,False,True,abandoned,0,0,68.14,68.37,0.23
franz,balanced,False,False,True,abandoned,1,1,68.14,69.85,1.71
franz,balanced,False,False,True,abandoned,1,0,68.14,75.81,7.67
franz,balanced,True,False,False,converted,0,0,68.14,70.25,2.11
franz,balanced,False,False,True,abandoned,1,1,68.14,74.4,6.26
franz,balanced,False,False,True,abandoned,1,1,68.14,77.8,9.66
franz,balanced,False,False,True,abandoned,1,1,68.14,78.21,10.07
franz,balanced,False,False,True,abandoned,1,1,68.14,70.02,1.88
franz,balanced,False,False,True,abandoned,1,0,68.14,72.38,4.24
franz,balanced,True,False,False,converted,1,1,68.14,76.49,8.35
franz,balanced,False,False,True,abandoned,1,1,68.14,68.44,0.3
franz,balanced,True,False,False,converted,1,1,68.14,76.44,8.3
franz,balanced,False,False,True,abandoned,1,1,68.14,69.7,1.56
franz,balanced,False,False,True,abandoned,2,1,68.14,76.53,8.39
franz,balanced,False,False,True,abandoned,1,1,68.14,78.22,10.08
franz,balanced,True,False,False,converted,1,1,68.14,71.9,3.76
franz,balanced,False,False,True,abandoned,1,1,68.14,77.62,9.48
franz,balanced,False,False,True,abandoned,0,0,68.14,70.81,2.67
franz,balanced,False,False,True,abandoned,1,0,68.14,73.77,5.63
franz,balanced,False,False,True,abandoned,1,1,68.14,69.13,0.99
franz,balanced,False,False,True,abandoned,2,2,68.14,78.22,10.08
franz,balanced,False,False,True,abandoned,1,1,68.14,76.1,7.96
franz,balanced,False,False,True,abandoned,1,1,68.14,74.17,6.03
franz,balanced,False,False,True,abandoned,1,0,68.14,77.17,9.03
franz,balanced,False,False,True,abandoned,1,1,68.14,75.53,7.39
franz,balanced,False,False,True,abandoned,1,1,68.14,76.94,8.8
franz,balanced,False,False,True,abandoned,1,0,68.14,73.49,5.35
franz,balanced,False,False,True,abandoned,1,0,68.14,78.24,10.1
franz,balanced,True,False,False,converted,0,0,68.14,70.49,2.35
franz,balanced,False,False,True,abandoned,1,0,68.14,75.9,7.76
franz,balanced,True,False,False,converted,2,2,68.14,74.33,6.19
franz,balanced,False,False,True,abandoned,1,0,68.14,72.0,3.86
franz,balanced,False,False,True,abandoned,1,1,68.14,69.29,1.15
franz,balanced,False,False,True,abandoned,1,1,68.14,69.68,1.54
franz,balanced,False,False,True,abandoned,1,1,68.14,70.95,2.81
franz,balanced,False,False,True,abandoned,1,1,68.14,75.06,6.92
franz,balanced,False,False,True,abandoned,1,1,68.14,71.53,3.39
franz,balanced,True,False,False,converted,2,2,68.14,72.64,4.5
franz,balanced,False,False,True,abandoned,1,0,68.14,76.82,8.68
franz,balanced,True,False,False,converted,1,1,68.14,76.31,8.17
franz,balanced,False,False,True,abandoned,1,1,68.14,76.01,7.87
franz,balanced,False,False,True,abandoned,0,0,68.14,74.22,6.08
franz,balanced,True,False,False,converted,1,1,68.14,74.18,6.04
franz,balanced,False,False,True,abandoned,1,1,68.14,69.5,1.36
franz,balanced,False,False,True,abandoned,0,0,68.14,72.09,3.95
franz,balanced,True,False,False,converted,0,0,68.14,70.99,2.85
franz,balanced,False,False,True,abandoned,1,1,68.14,73.12,4.98
franz,balanced,True,False,False,converted,1,1,68.14,75.35,7.21
franz,balanced,True,False,False,converted,2,2,68.14,78.19,10.05
franz,balanced,False,False,True,abandoned,1,1,68.14,71.92,3.78
