persona_id,converted,advisor_routed,abandoned,terminal_step,interventions_shown,interventions_accepted,steps_visited,initial_price_eur,final_price_eur,price_delta_eur,outcome_reason
franz,0,0,1,abandoned,0,0,5,68.14,78.23,10.09,Persona abandoned before online purchase completion.
franz,0,0,1,abandoned,0,0,5,68.14,73.3,5.16,Persona abandoned before online purchase completion.
franz,0,0,1,abandoned,1,1,4,68.14,69.74,1.6,Persona abandoned before online purchase completion.
franz,0,0,1,abandoned,1,0,4,68.14,73.99,5.85,Persona abandoned before online purchase completion.
franz,0,0,1,abandoned,0,0,5,68.14,76.36,8.22,Persona abandoned before online purchase completion.
franz,0,0,1,abandoned,1,0,4,68.14,70.14,2.0,Persona abandoned before online purchase completion.
franz,0,0,1,abandoned,1,0,4,68.14,75.04,6.9,Persona abandoned before online purchase completion.
franz,0,0,1,abandoned,1,0,4,68.14,68.37,0.23,Persona abandoned before online purchase completion.
franz,1,0,0,converted,1,1,8,68.14,75.53,7.39,Online purchase completed for an in-scope Start/Optimal tariff.
franz,0,0,1,abandoned,1,0,5,68.14,73.07,4.93,Persona abandoned before online purchase completion.
franz,1,0,0,converted,1,1,8,68.14,74.46,6.32,Online purchase completed for an in-scope Start/Optimal tariff.
franz,0,0,1,abandoned,1,1,4,68.14,69.76,1.62,Persona abandoned before online purchase completion.
franz,0,0,1,abandoned,1,1,4,68.14,74.13,5.99,Persona abandoned before online purchase completion.
franz,0,0,1,abandoned,1,1,5,68.14,70.51,2.37,Persona abandoned before online purchase completion.
franz,1,0,0,converted,1,1,8,68.14,73.91,5.77,Online purchase completed for an in-scope Start/Optimal tariff.
franz,0,0,1,abandoned,1,1,4,68.14,77.15,9.01,Persona abandoned before online purchase completion.
franz,0,0,1,abandoned,1,0,4,68.14,76.03,7.89,Persona abandoned before online purchase completion.
franz,1,0,0,converted,1,1,8,68.14,76.35,8.21,Online purchase completed for an in-scope Start/Optimal tariff.
franz,0,0,1,abandoned,1,0,4,68.14,70.9,2.76,Persona abandoned before online purchase completion.
franz,0,0,1,abandoned,1,0,4,68.14,69.26,1.12,Persona abandoned before online purchase completion.
franz,0,0,1,abandoned,1,1,4,68.14,78.22,10.08,Persona abandoned before online purchase completion.
