persona_id,converted,advisor_routed,abandoned,terminal_step,interventions_shown,interventions_accepted,steps_visited
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,1,0,0,converted,1,1,8
franz,0,0,1,abandoned,1,0,5
franz,0,0,1,abandoned,1,0,5
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,1,5
franz,1,0,0,converted,0,0,8
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,0,0,8
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,1,7
franz,1,0,0,converted,0,0,8
franz,0,0,1,abandoned,1,1,7
franz,0,0,1,abandoned,1,0,5
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,1,0,0,converted,0,0,8
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,1,4
franz,1,0,0,converted,1,1,8
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,1,4
franz,1,0,0,converted,0,0,8
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,1,5
franz,1,0,0,converted,1,1,8
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,0,0,5
franz,1,0,0,converted,0,0,8
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,2,2,7
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,0,0,6
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,0,1,0,advisor_routed,0,0,1
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,1,7
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,0,5
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,1,5
franz,0,0,1,abandoned,1,1,7
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,0,5
franz,0,0,1,abandoned,1,0,5
franz,1,0,0,converted,1,1,8
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,5
franz,1,0,0,converted,0,0,8
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,1,7
franz,0,0,1,abandoned,1,0,8
franz,0,0,1,abandoned,1,0,4
franz,1,0,0,converted,0,0,8
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,1,7
franz,0,0,1,abandoned,1,0,5
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,0,7
franz,1,0,0,converted,0,0,8
franz,0,0,1,abandoned,0,0,3
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,0,4
franz,1,0,0,converted,1,1,8
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,1,5
franz,0,0,1,abandoned,0,0,3
franz,0,0,1,abandoned,1,0,4
franz,1,0,0,converted,0,0,8
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,1,7
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,2,1,7
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,1,5
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,1,7
franz,1,0,0,converted,0,0,8
franz,0,0,1,abandoned,1,1,5
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,1,5
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,0,8
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,2,1,7
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,5
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,1,7
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,0,4
franz,1,0,0,converted,0,0,8
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,0,5
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,1,7
franz,0,0,1,abandoned,2,1,8
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,1,4
franz,1,0,0,converted,1,1,8
franz,0,0,1,abandoned,1,0,7
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,0,0,5
franz,0,0,1,abandoned,1,0,7
franz,1,0,0,converted,0,0,8
franz,1,0,0,converted,0,0,8
franz,0,0,1,abandoned,1,0,4
franz,0,1,0,advisor_routed,0,0,1
franz,0,0,1,abandoned,1,1,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
franz,1,0,0,converted,0,0,8
franz,0,0,1,abandoned,1,0,4
franz,0,0,1,abandoned,1,0,4
